id_cliente;id_estandar;nombre_cliente;debe;haber;deudor;acreedor;activo;pasivo;perdida;ganancia;;
11091005;1.01.62.00;CRÉDITOS POR GASTOS DE CAPACITACIÓN;4517764;3517764;1000000;0;1000000;0;0;0;0;1000000
11091006;1.01.62.00;CRÉDITOS POR DONACIONES;476914;;476914;0;476914;0;0;0;0;476914
11091008;1.01.99.00;REMANENTE DE IMPUESTO A LA RENTA POR RECUPERAR;376908809;239452787;137456022;0;137456022;0;0;0;0;137456022
11092001;1.01.99.00;IMPUESTOS DIFERIDOS POR COBRAR - CORTO PLAZO;235989894;87562737;148427157;0;148427157;0;0;0;0;0
11101001;1.01.99.00;ARRIENDOS PAGADOS POR ANTICIPADO;79878669;78381822;1496847;0;1496847;0;0;0;0;1496847
11101003;1.01.99.00;SEGUROS ANTICIPADOS POR CONSUMIR;57199094;30138598;27060496;0;27060496;0;0;0;0;27060496
11101006;1.01.99.00;PUBLICIDAD ANTICIPADA POR CONSUMIR;167590923;169019182;0;1428259;0;1428259;0;0;0;-1428259
11101007;1.03.50.00;OTROS GASTOS PAGADOS POR ANTICIPADO;161329146;143730373;17598773;0;17598773;0;0;0;0;17598773
12011001;1.02.12.00;LOCALES COMERCIALES;367499945;;367499945;0;367499945;0;0;0;0;367499945
12011004;1.02.12.00;INSTALACIONES;7962620450;5155173354;2807447096;0;2807447096;0;0;0;0;2807447096
12013001;1.02.17.00;VEHICULOS;97301960;53332950;43969010;0;43969010;0;0;0;0;43969010
12013002;1.02.99.00;VEHICULOS EX-LEASING;66075848;21258513;44817335;0;44817335;0;0;0;0;0
12014005;1.02.30.00;ACTIVOS EN LEASING;166316677;154064148;12252529;0;12252529;0;0;0;0;0
12015001;1.02.12.00;MUEBLES DE OFICINA;1252085561;1060243467;191842094;0;191842094;0;0;0;0;191842094
12015002;1.02.12.00;EQUIPOS DE OFICINA;688060295;640799373;47260922;0;47260922;0;0;0;0;47260922
12015003;1.02.15.00;EQUIPOS DE COMPUTACIÓN;1755810502;1351773221;404037281;0;404037281;0;0;0;0;715258503
12015004;1.02.15.00;EQUIPOS DE SALA;82453158;69046128;13407030;0;13407030;0;0;0;0;13407030
12015005;1.02.14.00;HERRAMIENTAS;3529413;3529413;0;0;0;0;0;0;0;0
12015008;1.02.13.00;INSTRUMENTOS SALA DE VENTAS;385904695;382813893;3090802;0;3090802;0;0;0;0;3090802
12016001;1.02.90.00;DEPRECIACIÓN ACUMULADA;8861433560;11054924922;0;2193491362;0;2193491362;0;0;0;-2193491362
12016002;1.02.95.00;DEPRECIACIÓN ACUMULADA DE ACTIVOS EN LEASING;154648312;160621094;0;5972782;0;5972782;0;0;0;0
12016003;1.02.90.00;DEPRECIACIÓN ACUMULADA EX-LEASING;23055233;63380764;0;40325531;0;40325531;0;0;0;0
12017001;1.02.12.00;OBRAS EN CONSTRUCCION;101815833;76506683;25309150;0;25309150;0;0;0;0;25309150
12021001;1.02.99.00;SISTEMA COMPUTACIONAL ERP;1188660942;910796184;277864758;0;277864758;0;0;0;0;277864758
12021002;1.02.25.00;SOFTWARE COMPUTACIONAL;504304349;386024862;118279487;0;118279487;0;0;0;0;144569033
12021003;1.02.25.00;SISTEMA POS;157454452;137741643;19712809;0;19712809;0;0;0;0;19712809
12022002;1.02.25.00;DERECHOS DE MARCAS;1500000;;1500000;0;1500000;0;0;0;0;1500000
12023001;1.02.90.00;AMORTIZACIÓN ACUMULADA;1473164149;1823248442;0;350084293;0;350084293;0;0;0;-350084293
12024001;1.02.99.00;SISTEMA ERP EN DESARROLLO;265637920;55629804;210008116;0;210008116;0;0;0;0;686070449
12031002;1.03.01.00;INVERSIÓN EN ACADEMIA AUDIOMUSICA;17188754;186150236;0;168961482;0;168961482;0;0;0;-168961482
12031004;1.03.01.00;INVERSIONES EN REAL AUDIO;0;61274757;0;61274757;0;61274757;0;0;0;-61274757
12031007;1.03.01.00;INVERSIONES EN AUDIOMUSICA COLOMBIA;0;245826094;0;245826094;0;245826094;0;0;0;-245826094
12061001;1.03.50.00;IMPUESTOS DIFERIDOS LARGO PLAZO;2489246266;159924543;2329321723;0;2329321723;0;0;0;0;0
12072001;1.03.45.00;GARANTÍAS ENTREGADAS POR ARRIENDOS;115559068;11121463;104437605;0;104437605;0;0;0;0;104437605
21011001;2.01.01.00;PRESTAMOS BANCARIOS CLP CORTO PLAZO;535668504;1436222922;0;900554418;0;900554418;0;0;0;-900554418
21011003;2.01.01.00;INTERESES BANCARIOS NO DEVENGADOS CLP;779610803;339509469;440101334;0;440101334;0;0;0;0;440101334
21012003;2.01.99.00;OPERACIONES CONTADO COMEX;41730;41730;0;0;0;0;0;0;0;0
21014001;2.01.99.00;TARJETAS DE CRÉDITO POR PAGAR EN MONEDA NACIONAL;48763360;51457845;0;2694485;0;2694485;0;0;0;-2694485
21014002;2.01.99.00;TARJETAS DE CRÉDITO POR PAGAR EN MONEDA EXTRANJERA;203003191;203946430;0;943239;0;943239;0;0;0;-943239
21015001;2.01.01.00;OTROS PRESTAMOS CORRIENTES;79501923;351034194;0;271532271;0;271532271;0;0;0;-271532271
21021001;2.01.11.00;PROVEEDORES NACIONALES POR PAGAR;11194004072;11895746399;0;701742327;0;701742327;0;0;0;-701742327
21021002;2.01.11.00;PROVEEDORES EXTRANJEROS POR PAGAR;11198269609;11765930095;0;567660486;0;567660486;0;0;0;-567660486
21021003;2.01.40.00;PROVEEDORES EERR;5575999557;5575999557;0;0;0;0;0;0;0;0
21022001;2.01.12.00;CUENTA POR PAGAR;25899;102594271;0;102568372;0;102568372;0;0;0;-102568372
21022002;2.01.12.00;FONDOS FIJOS - A RENDIR  POR PAGAR;142146761;165558672;0;23411911;0;23411911;0;0;0;-23411911
21031001;2.01.12.00;FONDOS DE AGENCIAS POR PAGAR;85200000;85200000;0;0;0;0;0;0;0;0
21031002;2.01.99.00;POLIZAS DE SEGURO POR PAGAR;34529221;37754655;0;3225434;0;3225434;0;0;0;-3225434
21031003;2.01.14.00;DOCUMENTOS POR PAGAR;33478604;51108903;0;17630299;0;17630299;0;0;0;-17630299
21031004;2.01.11.00;FACTURAS POR RECIBIR PROV. NACIONALES;717241803;929125836;0;211884033;0;211884033;0;0;0;-211884033
21041001;2.01.70.00;ANTICIPOS DE CLIENTE;218352725;233946114;0;15593389;0;15593389;0;0;0;-15593389
21041002;2.01.99.00;DEPÓSITOS Y ABONOS BANCARIOS POR ACLARAR;8768178;8768178;0;0;0;0;0;0;0;0
